marca,codigo_tienda,nombre_tienda,prioridad
HUSH PUPPIES,7,HP CHACARILLA,B
HUSH PUPPIES,8,HP JOCKEY,A
HUSH PUPPIES,12,HP CHICLAYO,B
HUSH PUPPIES,16,HP LARCOMAR,A
HUSH PUPPIES,22,HP TRUJILLO,B
HUSH PUPPIES,23,HP CHORRILLOS,C
HUSH PUPPIES,30,HP PLAZA ANGAMOS,B
HUSH PUPPIES,37,HP PIURA 2,B
HUSH PUPPIES,43,HP SAN MIGUEL 2,A
HUSH PUPPIES,44,HP PLAZA NORTE,A
HUSH PUPPIES,61,HP CUSCO,B
HUSH PUPPIES,97,HP SALAVERRY 2,A
HUSH PUPPIES,116,HP CAYMA,C
HUSH PUPPIES,129,HP LA MOLINA,B
